CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2645,1171,22,CARBON DIOXIDE,124-38-9,15.0
2646,1172,24,CARBON MONOXIDE,630-08-0,70.0
2647,1172,36,HYDROGEN,1333-74-0,14.0
2648,1172,22,CARBON DIOXIDE,124-38-9,15.0
2649,1173,24,CARBON MONOXIDE,630-08-0,70.0
2650,1173,36,HYDROGEN,1333-74-0,14.0
2651,1173,22,CARBON DIOXIDE,124-38-9,15.0
2655,1174,160,DIETHYLAMINE,109-89-7,38.0
2656,1174,48,METHANOL,67-56-1,62.0
2657,1175,160,DIETHYLAMINE,109-89-7,38.0
2658,1175,48,METHANOL,67-56-1,62.0
2659,1176,99,WATER,7732-18-5,29.0
2660,1176,22,CARBON DIOXIDE,124-38-9,11.0
2661,1176,24,CARBON MONOXIDE,630-08-0,50.0
2662,1176,36,HYDROGEN,1333-74-0,10.0
2667,1177,47,METHANE,74-82-8,100.0
2670,1180,183,ISOPROPYLAMINE,75-31-0,100.0
2671,1181,228,2-METHYLPROPANAL,78-84-2,100.0
2672,1182,207,ACETALDEHYDE,75-07-0,2.07
2673,1182,48,METHANOL,67-56-1,62.02
2674,1182,535,O-XYLENE,95-47-6,11.96
2675,1182,251,ETHYLENE GLYCOL,107-21-1,15.91
2676,1182,1483,DIMETHYL TEREPHTHALATE,120-61-6,4.84
2677,1183,207,ACETALDEHYDE,75-07-0,1.59
2678,1183,48,METHANOL,67-56-1,73.48
2679,1183,535,O-XYLENE,95-47-6,8.57
2680,1183,251,ETHYLENE GLYCOL,107-21-1,10.55
2681,1183,1483,DIMETHYL TEREPHTHALATE,120-61-6,1.04
2682,1184,522,METHYLETHANOLAMINE,109-83-1,100.0
2683,1183,99,WATER,7732-18-5,1.68
2684,1183,859,DIETHYLENE GLYCOL,111-46-6,1.04
2685,1183,1480,DIMETHYL ISOPHTHALATE,1459-93-4,1.13
2686,1185,535,O-XYLENE,95-47-6,2.55
2687,1185,48,METHANOL,67-56-1,36.01
2688,1185,251,ETHYLENE GLYCOL,107-21-1,45.24
2689,1185,859,DIETHYLENE GLYCOL,111-46-6,4.42
2690,1185,1480,DIMETHYL ISOPHTHALATE,1459-93-4,4.81
2691,1185,1483,DIMETHYL TEREPHTHALATE,120-61-6,4.89
2692,1185,1019,"1,4-BENZENEDICARBOXYLIC ACID, 2-HYDROXYETHYL METHYL ESTER",3645-00-9,2.07
2693,1186,1575,FORMAMIDE,75-12-7,5.0
2694,1186,48,METHANOL,67-56-1,62.0
2695,1186,326,METHYL FORMATE,107-31-3,23.0
2696,1186,17,AMMONIA,7664-41-7,10.0
2706,1192,1483,DIMETHYL TEREPHTHALATE,120-61-6,30.47
2715,1192,299,"1,4-DIOXANE",123-91-1,0.33
2716,1192,535,O-XYLENE,95-47-6,39.82
2717,1192,1480,DIMETHYL ISOPHTHALATE,1459-93-4,29.34
2718,1194,349,ISOPROPYL ACETATE,108-21-4,75.0
2719,1194,250,ACETIC ACID,64-19-7,15.0
2720,1194,99,WATER,7732-18-5,10.0
2721,1195,349,ISOPROPYL ACETATE,108-21-4,75.0
2722,1195,250,ACETIC ACID,64-19-7,15.0
2723,1195,99,WATER,7732-18-5,10.0
2724,1196,349,ISOPROPYL ACETATE,108-21-4,75.0
2725,1196,250,ACETIC ACID,64-19-7,15.0
2726,1196,99,WATER,7732-18-5,10.0
2754,1206,349,ISOPROPYL ACETATE,108-21-4,63.0
2755,1206,250,ACETIC ACID,64-19-7,27.0
2756,1206,99,WATER,7732-18-5,10.0
2757,1207,17,AMMONIA,7664-41-7,29.4
2758,1207,99,WATER,7732-18-5,70.6
2759,1208,17,AMMONIA,7664-41-7,29.4
2760,1208,99,WATER,7732-18-5,70.6
2761,1209,17,AMMONIA,7664-41-7,8.0
2762,1209,99,WATER,7732-18-5,92.0
2763,1210,17,AMMONIA,7664-41-7,5.0
2764,1210,99,WATER,7732-18-5,95.0
2765,1211,17,AMMONIA,7664-41-7,100.0
2766,1212,17,AMMONIA,7664-41-7,100.0
2767,1213,338,ETHYL ACETATE,141-78-6,100.0
2768,1214,99,WATER,7732-18-5,300.0
2769,1214,27,DIMETHYLAMINE,124-40-3,387.0
2770,1214,37,HYDROGEN CHLORIDE,7647-01-0,313.0
2774,1216,1483,DIMETHYL TEREPHTHALATE,120-61-6,5.48
2775,1216,299,"1,4-DIOXANE",123-91-1,0.21
2776,1216,535,O-XYLENE,95-47-6,85.24
2777,1216,1480,DIMETHYL ISOPHTHALATE,1459-93-4,5.29
2778,1216,251,ETHYLENE GLYCOL,107-21-1,1.48
2779,1216,1019,"1,4-BENZENEDICARBOXYLIC ACID, 2-HYDROXYETHYL METHYL ESTER",3645-00-9,1.09
2780,1217,1483,DIMETHYL TEREPHTHALATE,120-61-6,30.47
2781,1217,299,"1,4-DIOXANE",123-91-1,0.33
2782,1217,535,O-XYLENE,95-47-6,39.82
2783,1217,1480,DIMETHYL ISOPHTHALATE,1459-93-4,29.34
2784,1218,24,CARBON MONOXIDE,630-08-0,100.0
2785,1218,36,HYDROGEN,1333-74-0,0.0
2786,1218,47,METHANE,74-82-8,0.0
2787,1219,24,CARBON MONOXIDE,630-08-0,100.0
2788,1219,36,HYDROGEN,1333-74-0,0.0
2789,1219,47,METHANE,74-82-8,0.0
2790,1220,24,CARBON MONOXIDE,630-08-0,100.0
2791,1220,36,HYDROGEN,1333-74-0,0.0
2792,1220,47,METHANE,74-82-8,0.0
2793,1221,24,CARBON MONOXIDE,630-08-0,100.0
2794,1221,36,HYDROGEN,1333-74-0,0.0
2795,1221,47,METHANE,74-82-8,0.0
2796,1222,24,CARBON MONOXIDE,630-08-0,100.0
2797,1222,36,HYDROGEN,1333-74-0,0.0
